r,cutoff,avg_time (seconds),median_time (seconds)
3,3,0.566326811,0.566361168
3,4,0.547284646,0.550054118
3,5,0.534269233,0.536214452
3,6,0.530980849,0.531298204
3,7,0.523034522,0.525199849
3,8,0.526213458,0.526542947
3,9,0.50993198,0.511786461
3,10,0.496608552,0.497686337
3,11,0.492604528,0.495103425
3,12,0.481872421,0.482200906
3,13,0.475494173,0.476900755
3,14,0.473173576,0.476294568
3,15,0.470136651,0.472463605
3,16,0.465580543,0.465807961
3,17,0.464985592,0.466490787
3,18,0.458208016,0.459127083
3,19,0.459997435,0.460627416
3,20,0.458272112,0.460276822
3,21,0.456146312,0.458327743
3,22,0.451578186,0.452059308
3,23,0.447882693,0.449776707
3,24,0.448720142,0.449153499
3,25,0.445536775,0.445797268
3,26,0.441520549,0.442125711
3,27,0.443523042,0.446419326
3,28,0.442669399,0.445001451
3,29,0.432077995,0.432115539
3,30,0.437141119,0.439875434
3,31,0.429718365,0.430714334
3,32,0.427757261,0.428428943
3,33,0.426388152,0.426853113
3,34,0.423240415,0.42386534
3,35,0.423614602,0.424251947
3,36,0.419965982,0.420566444
3,37,0.420626387,0.422068791
3,38,0.418554229,0.419447941
3,39,0.415886338,0.417642771
3,40,0.415266718,0.417082948
3,41,0.415728153,0.416032692
3,42,0.414842008,0.4165045
3,43,0.409617154,0.40987902
3,44,0.410528864,0.412638398
3,45,0.408260587,0.408653606
3,46,0.408596797,0.410365026
3,47,0.405240467,0.405349835
3,48,0.402940033,0.403030791
3,49,0.405006941,0.405134017
3,50,0.408506251,0.410947934
3,51,0.403029418,0.404040432
3,52,0.408025951,0.409232836
3,53,0.406095667,0.406227499
3,54,0.401724478,0.402183717
3,55,0.403749302,0.406334523
3,56,0.399851489,0.401180642
3,57,0.400198338,0.402752868
3,58,0.396910691,0.397004481
3,59,0.405224271,0.40849799
3,60,0.403843246,0.403916538
3,61,0.402124975,0.403226733
3,62,0.396249413,0.397819267
3,63,0.397427879,0.398907275
3,64,0.393703539,0.39476425
3,65,0.392979444,0.394158139
3,66,0.39472253,0.394959581
3,67,0.398725046,0.400516136
3,68,0.393971235,0.394986001
3,69,0.389408793,0.390653895
3,70,0.392474588,0.392710284
3,71,0.395796063,0.399763659
3,72,0.400558978,0.401524581
3,73,0.392288692,0.39251033
3,74,0.389154532,0.389393948
3,75,0.389832187,0.391404563
3,76,0.387868264,0.389359791
3,77,0.390564369,0.39225493
3,78,0.387389175,0.387892495
3,79,0.386700692,0.387028437
3,80,0.391756977,0.395275631
3,81,0.384781595,0.384983145
3,82,0.386364891,0.387693684
3,83,0.385947619,0.387411593
3,84,0.386520456,0.387622654
3,85,0.38381277,0.384113124
3,86,0.383870363,0.384114153
3,87,0.383356765,0.383733427
3,88,0.388481568,0.391156458
3,89,0.383305398,0.384168489
3,90,0.383100974,0.384197192
3,91,0.383020844,0.383265191
3,92,0.37995415,0.380698252
3,93,0.382294737,0.383149416
3,94,0.379324844,0.382115767
3,95,0.379307627,0.383027657
3,96,0.379467357,0.381754903
3,97,0.378020914,0.378252144
3,98,0.383398846,0.383403691
3,99,0.378094442,0.378644357
3,100,0.37833699,0.378787444
3,101,0.375532442,0.376206158
3,102,0.375341002,0.375813317
3,103,0.375619,0.375814137
3,104,0.380944311,0.38129716
3,105,0.376363261,0.376429552
3,106,0.377561006,0.379687677
3,107,0.374844398,0.374913472
3,108,0.379691057,0.38269969
3,109,0.375591094,0.377391783
3,110,0.373264531,0.37404549
3,111,0.379555182,0.379829975
3,112,0.372376447,0.373319753
3,113,0.372031011,0.373868907
3,114,0.375446869,0.377751081
3,115,0.37289917,0.374611151
3,116,0.376614153,0.377935777
3,117,0.371952053,0.3720807
3,118,0.378400771,0.379538809
3,119,0.374569967,0.376962342
3,120,0.369701285,0.370082268
3,121,0.371906233,0.372327336
3,122,0.371539181,0.373276263
3,123,0.368491606,0.368870003
3,124,0.372591658,0.372838984
3,125,0.368692753,0.370791135
3,126,0.370329982,0.370479548
3,127,0.371945306,0.371967034
3,128,0.37465572,0.376582134
3,129,0.370481678,0.371043009
3,130,0.371843342,0.372408673
3,131,0.368510204,0.368758215
3,132,0.369171022,0.370385889
3,133,0.368426131,0.368497196
3,134,0.370712054,0.372381609
3,135,0.372642109,0.375035829
3,136,0.371730405,0.375942215
3,137,0.366341629,0.366730642
3,138,0.370208124,0.371423985
3,139,0.365951199,0.366285356
3,140,0.369534664,0.370004827
3,141,0.36948774,0.370148601
3,142,0.368631417,0.369027676
3,143,0.368699949,0.369203249
3,144,0.367811682,0.368757892
3,145,0.371795392,0.371918302
3,146,0.371477746,0.371606218
3,147,0.368696063,0.369155592
3,148,0.369539218,0.372984652
3,149,0.369286555,0.369398662
3,150,0.368916985,0.369218247
3,151,0.369467375,0.372861431
3,152,0.366781653,0.367157917
3,153,0.368494847,0.368846701
3,154,0.369522185,0.372859947
3,155,0.366120269,0.366720164
3,156,0.369642219,0.371640557
3,157,0.366534744,0.367443563
3,158,0.366510328,0.368840663
3,159,0.366989284,0.367333607
3,160,0.367057251,0.367590886
3,161,0.367823905,0.368093094
3,162,0.365593834,0.366657138
3,163,0.366256185,0.367183537
3,164,0.368920597,0.369444345
